brand,rating,price,processor_brand,num_processor,processor_speed,ram,memory_inbuilt,battery_capacity,charger,charging,display_size_inches,pixel,resolution_width,resolution_height,ppi,frequency_display_hz,primary_front_camera,secondry_front_camera,primary_rear_camera,secondry_rear_camera,os_brand,version,memory_card_upto,sim,is_5G,is_wifi
Samsung,4.6,9799,Helio,8.0,2.4,3.0,32.0,5100.0,15.0,Fast,8.7,800x1340,800.0,1340.0,179.38401080367268,0.0,2.0,0.0,8.0,0.0,Unknown,0.0,1TB,Unknown,not_available,Wi-Fi
Lenovo,4.75,9990,Helio,8.0,2.0,2.0,32.0,5000.0,0.0,Unknown,10.1,1280x800,1280.0,800.0,149.44920605238187,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,256GB,Single Sim,not_available,Wi-Fi
Lenovo,4.4,24999,Snapdragon,8.0,2.0,6.0,128.0,5000.0,0.0,Unknown,10.3,1920x1200,1920.0,1200.0,219.82091958190142,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,256GB,Single Sim,not_available,Wi-Fi
Apple,4.75,165756,Apple,8.0,0.0,16.0,2000.0,7538.0,18.0,Fast,11.0,1668x2388,1668.0,2388.0,264.8056826935118,0.0,12.0,0.0,12.0,10.0,iOS,14.5,Unknown,Unknown,not_available,Wi-Fi
Apple,4.65,157997,Apple,8.0,0.0,16.0,1000.0,0.0,0.0,Unknown,12.9,2048x2732,2048.0,2732.0,264.6821778078071,0.0,12.0,0.0,12.0,10.0,iOS,14.5,Not_available,Unknown,not_available,Wi-Fi
Lenovo,4.55,9499,Helio,8.0,2.0,2.0,32.0,5000.0,0.0,Unknown,10.1,1280x800,1280.0,800.0,149.44920605238187,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,256GB,Unknown,not_available,Wi-Fi
Apple,4.2,139999,Apple,8.0,0.0,16.0,1000.0,7538.0,18.0,Fast,11.0,1668x2388,1668.0,2388.0,264.8056826935118,0.0,12.0,0.0,12.0,10.0,iOS,14.5,Unknown,Single Sim,5G,Wi-Fi
Lenovo,4.65,8990,Helio,8.0,2.0,2.0,32.0,5000.0,0.0,Unknown,10.3,1920x1200,1920.0,1200.0,219.82091958190142,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,256GB,Single Sim,not_available,Wi-Fi
Apple,4.3,192914,Apple,8.0,0.0,16.0,2000.0,0.0,0.0,Unknown,12.9,2048x2732,2048.0,2732.0,264.6821778078071,0.0,12.0,0.0,12.0,10.0,iOS,14.5,Not_available,Unknown,not_available,Wi-Fi
Apple,4.65,179335,Apple,8.0,0.0,16.0,2000.0,7538.0,18.0,Fast,11.0,1668x2388,1668.0,2388.0,264.8056826935118,0.0,12.0,0.0,12.0,10.0,iOS,14.5,Unknown,Single Sim,5G,Wi-Fi
DOMO,4.0,4739,Unknown,0.0,0.0,1.0,32.0,3000.0,0.0,Unknown,7.0,1024x600,1024.0,600.0,169.54777786686512,0.0,2.0,0.0,5.0,0.0,Android,6.0,Unknown,Dual Sim,not_available,Wi-Fi
Lava,4.4,6799,Quad,4.0,2.0,2.0,32.0,5100.0,0.0,Unknown,8.0,800x1280,800.0,1280.0,188.67962264113208,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,256GB,Dual Sim,not_available,Wi-Fi
Lava,4.05,4998,Helio,4.0,1.3,2.0,16.0,4100.0,0.0,Unknown,7.0,1280x800,1280.0,800.0,215.6338544470081,0.0,2.0,0.0,5.0,0.0,Android,10.0,256GB,Unknown,Unknown,Wi-Fi
Huawei,4.0,49990,Unknown,0.0,0.0,8.0,128.0,7250.0,40.0,Fast,12.6,2560x1600,2560.0,1600.0,239.5931716077868,120.0,8.0,0.0,13.0,0.0,Unknown,0.0,256GB,Single Sim,5G,Wi-Fi
Samsung,4.5,11990,Helio,8.0,2.4,3.0,32.0,5100.0,15.0,Fast,8.7,800x1340,800.0,1340.0,179.38401080367268,0.0,2.0,0.0,8.0,0.0,Unknown,0.0,1TB,Single Sim,not_available,Wi-Fi
