Actual_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type,Product_Type,Technology,noise cancellation,anc,waterproof,fast charging,bass,enc,playtime,gaming
2490.0,boAt,Rockerz 235 Pro,Ash Grey,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
800.0,PTron,Boom One,Blue,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
1999.0,Portronics,Harmonics Twins 24,White,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
4999.0,Boult,ProBass FCharge,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,Yes,Yes,Yes,Yes,No
3990.0,boAt,Rockerz 450 Pro with Upto 70 Hours Playback,Hazel Beige,On Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
4999.0,Boult,"Audio Airbass X50 with Quad Mic ENC, 40H Playtime with Gaming Mode On",Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,Yes,Yes,Yes
2699.0,PTron,InTunes Ultima,"Black, Blue",In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,No,No
19999.0,Skullcandy,Indy ANC,Chill Grey,In Ear,Bluetooth,headset,Unknown,No,Yes,No,No,No,No,No,No
13999.0,Skullcandy,"Push Active True Wireless Earbuds, Voice Control",Blue/Grey,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,No,No,No,No
1999.0,Portronics,Harmonics Z1 Wireless Stereo,Green,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
3999.0,Skullcandy,Cassette Wireless,Chill Gray,On Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
14999.0,Skullcandy,s6hvw-n740,Black,On Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
2990.0,boAt,Airdopes 131,Crimson Cream,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
4499.0,Boult,Maverick,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,Yes,Yes,Yes
3999.0,Noise,"Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Space Blue,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,Yes,Yes,No
7999.0,Boult,Ranger,Black,On Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,Yes
3199.0,PTron,Bassbuds Rush,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,No,Yes
399.0,ZEBRONICS,ZEB-BRO,Red,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
1999.0,ZEBRONICS,ZEB- PHOENIX,Black,On Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,Yes
2999.0,Boult,Airbass Z35,Graphite Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,Yes,Yes,No
2499.0,Skullcandy,S2IMY-M686,Blue,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
2599.0,PTron,Bassbuds B11,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,No,No
3999.0,Noise,Buds�VS204,Space Blue,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,Yes,No
3999.0,Noise,"Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Forest Green,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,Yes,Yes,No
3999.0,PTron,Basspods P251+,White,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,Yes,No,No
399.0,ZEBRONICS,ZEB-BRO,Blue,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
2999.0,Wings,Phantom 550,White,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,No,No,Yes,Yes
2499.0,PTron,InTunes Beats,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
7999.0,Noise,"Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5",Snow White,In Ear,Bluetooth,headset,Unknown,No,Yes,No,No,No,Yes,Yes,No
3999.0,Noise,Flair Touch Neckband,Carbon Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,Yes,Yes,No
1999.0,Wings,WL-PHANTOM110,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,Yes,Yes,Yes
3999.0,Boult,Thunder,Black,On Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
4499.0,Boult,ProBass EQCharge,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,Yes,Yes,Yes,Yes,No
2799.0,Noise,Nerve Pro Neckband,Cyan Blue,In Ear,Bluetooth,headset,bluetooth v5.2,No,No,No,No,No,No,Yes,No
2999.0,Noise,Buds VS304,Pearl White,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,Yes,No
2999.0,Wings,WL-PHANTOM860-BLK,Black,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,No,Yes,Yes,Yes
8999.0,Boult,Air Bass Power Buds,Black,In Ear,Bluetooth,headset,Unknown,No,No,Yes,No,Yes,No,Yes,No
2999.0,Noise,Air Buds Mini Truly Wireless,Pale Blue,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,Yes,No
3199.0,PTron,Bassbuds Epic,Black,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,Yes,Yes,Yes,Yes
7499.0,Skullcandy,s2dmw-p751,Blue,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,No,No,No,No
3999.0,Noise,Buds�VS204,Snow White,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,Yes,No
7999.0,Skullcandy,Sesh Evo,Bleached Blue,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
3199.0,PTron,Basspods P481,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,Yes,Yes,No
699.0,ZEBRONICS,ZEB-Buds-C2,Black,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
7999.0,Skullcandy,S2DBW-P751,"Blue, Grey",In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
3199.0,PTron,Basspods P481,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,Yes,Yes,No
2699.0,PTron,Basspods 281,"Black, Grey",In Ear,Bluetooth,earbuds,bluetooth 5.1,No,Yes,No,No,Yes,No,No,No
2999.0,PTron,Basspods P11,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,No,No
1399.0,ZEBRONICS,Zeb-Thunder(Blue),Blue,On Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
2499.0,ZEBRONICS,Zeb-Duke 1,Red,On Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
5999.0,Skullcandy,Sesh S2TDW-M003,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
2499.0,Noise,Nerve,Stone Blue,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,Yes,No
2990.0,boAt,Airdopes 131 Pro,Mint Cascade,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
4999.0,ZEBRONICS,Orion,Black,On Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,Yes
3999.0,Noise,Buds Combat,Covert white,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,Yes,Yes,Yes
1699.0,ZEBRONICS,ZEB- EARPHONE YOGA 2,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
19999.0,Skullcandy,Indy ANC,Black,In Ear,Bluetooth,headset,Unknown,No,Yes,No,No,No,No,No,No
3999.0,Boult,ProBass Escape,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,Yes,Yes,No
19999.0,Skullcandy,Hesh ANC,Black,On Ear,Bluetooth,headset,Unknown,No,Yes,No,No,No,No,No,No
9999.0,Boult,Airbass Omega,Black,In Ear,Bluetooth,headset,Unknown,No,Yes,No,No,No,Yes,Yes,Yes
599.0,Portronics,POR-1025 Conch Gama,Black,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
4999.0,Wings,Phantom Pro Godlike Gaming TWS Earbuds,Yellow,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,No,No,No,Yes
4499.0,Boult,Maverick,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,Yes,Yes,Yes
4299.0,ZEBRONICS,Zeb-Sound Bomb 10,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
4599.0,PTron,Bassbuds Xtreme,Blue & Black,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,Yes,No,Yes,Yes
2999.0,Wings,Phantom 550,Blue,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,No,No,Yes,Yes
2499.0,ZEBRONICS,Zeb-Bang Pro,Orange,On Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
999.0,Skullcandy,S2DUYK-343,Black,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
4999.0,Wings,Phantom Gaming TWS with 65 ms Latency Bluetooth Headset,White,In Ear,Bluetooth,headset,bluetooth 5.3,No,No,No,No,No,Yes,No,Yes
399.0,ZEBRONICS,ZEB-BRO,Green,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
3499.0,boAt,Rockerz 255F Pro / Rockerz 255 Pro,Active Black,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
7999.0,Noise,"Air Buds Pro 2 with 25 Hours Playtime, 40dB ANC, Triple Mic with ENC, and IPX5",Charcoal Black,In Ear,Bluetooth,headset,Unknown,No,Yes,No,No,No,Yes,Yes,No
2799.0,ZEBRONICS,Zeb-Iron Head,Black,On Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,Yes
4999.0,Boult,ProBassXcharge Black,Black,In Ear,Bluetooth,headset,Unknown,No,No,No,Yes,Yes,Yes,Yes,No
7999.0,Skullcandy,Sesh Evo,Bleached Blue,In Ear,Bluetooth,headset,Unknown,No,No,No,No,No,No,No,No
2699.0,PTron,InTunes Ultima,"Black, Grey",In Ear,Bluetooth,headset,Unknown,No,No,No,No,Yes,No,No,No
2999.0,Wings,Phantom 850,White,In Ear,Bluetooth,earbuds,Unknown,No,No,No,No,No,Yes,Yes,Yes
849.0,PTron,Pride Lite HBE in-Ear Wired Headphones ( Blue ),Blue,In Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,No
2199.0,Wings,Vader 200,Black,On Ear,Wired,headset,Unknown,No,No,No,No,No,No,No,Yes
